Episode 38: Reward = -100.00, Avg Reward (100) = 304.41, Epsilon = 0.498, Avg Loss = 0.0000, Max Q-Value = 2.34, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 39: Reward = 500.00, Avg Reward (100) = 293.77, Epsilon = 0.498, Avg Loss = 0.0000, Max Q-Value = 2.34, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 40: Reward = 500.00, Avg Reward (100) = 299.05, Epsilon = 0.498, Avg Loss = 0.0000, Max Q-Value = 2.34, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 41: Reward = -100.00, Avg Reward (100) = 304.08, Epsilon = 0.498, Avg Loss = 0.0000, Max Q-Value = 2.34, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 42: Reward = -100.00, Avg Reward (100) = 294.22, Epsilon = 0.498, Avg Loss = 0.0000, Max Q-Value = 2.34, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 43: Reward = -100.00, Avg Reward (100) = 284.84, Epsilon = 0.498, Avg Loss = 321.7889, Max Q-Value = 2.34, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 44: Reward = 2044.43, Avg Reward (100) = 275.89, Epsilon = 0.498, Avg Loss = 347.7135, Max Q-Value = 2.31, Steps = 3, Reward Breakdown -> Delta_x Reward: 6494.43, Border Penalty: 300.00, Obstacle Penalty: 600.00
Episode 45: Reward = -100.00, Avg Reward (100) = 316.08, Epsilon = 0.498, Avg Loss = 321.7092, Max Q-Value = 2.22, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 46: Reward = -100.00, Avg Reward (100) = 306.83, Epsilon = 0.498, Avg Loss = 352.0904, Max Q-Value = 2.18, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 47: Reward = -100.00, Avg Reward (100) = 297.99, Epsilon = 0.498, Avg Loss = 272.7502, Max Q-Value = 2.15, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 48: Reward = -100.00, Avg Reward (100) = 289.52, Epsilon = 0.498, Avg Loss = 319.2893, Max Q-Value = 2.12, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 49: Reward = 2644.43, Avg Reward (100) = 281.41, Epsilon = 0.498, Avg Loss = 355.5536, Max Q-Value = 2.09, Steps = 4, Reward Breakdown -> Delta_x Reward: 8294.43, Border Penalty: 300.00, Obstacle Penalty: 800.00
Episode 50: Reward = -100.00, Avg Reward (100) = 329.63, Epsilon = 0.498, Avg Loss = 359.7612, Max Q-Value = 1.97, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 51: Reward = 500.00, Avg Reward (100) = 321.04, Epsilon = 0.498, Avg Loss = 345.2056, Max Q-Value = 1.93, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 52: Reward = 500.00, Avg Reward (100) = 324.55, Epsilon = 0.498, Avg Loss = 354.4548, Max Q-Value = 1.87, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 53: Reward = 5027.47, Avg Reward (100) = 327.92, Epsilon = 0.498, Avg Loss = 360.1781, Max Q-Value = 1.81, Steps = 7, Reward Breakdown -> Delta_x Reward: 14727.47, Border Penalty: 750.00, Obstacle Penalty: 1400.00
